text,favoriteCount,retweetCount
You made it through another week! We hope it wasn't too crazy and that this weekend is packed with good things! https://t.co/wlZeCLMcLp,0,0
"Stormy #weather is on the menu for the South this weekend. Meanwhile, sporadic #spring snow showers will invade par https://t.co/KBYlkSLrnA",3,1
It's #finallyfriday at last. This week has me #ready for the #weekend . At least it's a #cloudy if #hot day. I'm on https://t.co/t2ufElYCWq,0,0
Aspettiamo un #giorno #nuovo si avvicina la fine del #tunnel che non ha fermato #sogni #Speranza #desideri respiria https://t.co/rUvUc9naOV,0,0
"Friday nights are made for movies. Signature team member, Rachael is spending her weekend watching the greats. We'd https://t.co/5TWO7gMOxq",0,0
"Have an excellent #weekend, everybody!",0,0
"Now streaming:
GLOBAL WARM UP with JUDGE JULES  Best Club Music In The Mix

 https://t.co/5IU9LjUQKN

#topiradio https://t.co/3r5Y4dphLZ",0,0
"Friday nights are made for movies. Signature team member, Rachael is spending her weekend watching the greats. We'd https://t.co/1nf2YLBLVL",0,0
"#Friday #feelings Have a #safe and #fun #weekend 
#weekendvibes #social #creativity #SocialDistancing #precious  https://t.co/Sd7B0gVaYD",0,0
The #weekend is here! Heading out of the office and home for some amazing fun with great people!,0,0
I hope everyone is doing well during these trying times. If you're bored and surfing the web Please do not forget t https://t.co/cjbWdGH1wj,0,0
#HappyFriday guys! Head over to the #blog to see what I've been up to this week! Have a great #weekend! https://t.co/VBwK4TJizO,0,0
"Have a great weekend, everyone! and check out my blog on https://t.co/LTC2DvvjmH #weekend #happy #party #vrijheid A https://t.co/LCAjYvFabn",0,0
Have a great #weekend everyone! #sculpture #art,0,0
#hello #hola #viernes #friday #itsfriday #weekend #fridayvibes #esviernesyelcuerpolosabe #smile #sonrisa #sonrie https://t.co/YxafrQrF5u,0,0
"Hello #Friday! 
Hello #weekend! 
Hello #relaxation! 

Find us near you to curl up with a classic Philly Cheesest https://t.co/k4tNhiiT1R",0,0
Have a great #weekend everyone!,0,0
Bon #Weekend tout le monde et  bientt pour de nouvelles aventures #digitales :),0,0
The weekend is finally here!  What are your plans?  We gathered some ideas to keep you and your family entertain https://t.co/vr3ha7RkRq,0,0
"Have a great weekend, everyone! and check out my blog on https://t.co/0yF9lR8nYG #weekend #happy #party #vrijheid #istriahouses.com Friday",0,0
"Learn from yesterday, live for today, hope for tomorrow. #weekend #positivity #PositiveVibes #naturelovers https://t.co/RdV9CJUYGK",0,0
Because its the #weekend and you deserve to feel good in your fit https://t.co/bhoHTed2Dt,13,1
"Change is among us....plan accordingly 
#FunFactFriday #weekend #CoronaVirusUpdate",0,0
"@ABC7 Eating pizza, watching The Secret Life of Pets in the big screen. Nice! 
#weekend",0,0
It's #Friday of the year 300 of April 2020. My #bestwishes for health and safety to all. Make the most out of your https://t.co/4jH1JVexrc,4,0
"Always follow your #DREAMS

Happy #weekend everyone  https://t.co/snCou9Y9PY",0,0
"Programme de mon #WeekEnd :
Faire un gteau au chocolat, un poulet maroilles et des exercices avec des haltres, et https://t.co/baBRnr05Ex",0,0
"
#weekend
#RelaxTime 
#djkarouh #Austria #Tyrol

         https://t.co/ignAop12cB https://t.co/dBjdvPTOJ1",2,0
#weekend #jegtalerdansk https://t.co/nG6EhIEgxr,0,0
"The goal is to read the entire 6 (massive) book series by Sunday. Thank you @SJMaas 
 #QuarantineLife #weekend https://t.co/NSs5Icj4rP",3,3
"Think it's time to recharge the old batteries.
#Comic #Comics #Ink #Selfie #Selfies #Copic #Copicart #GilbertComics https://t.co/4G9QSB7Jny",1,0
Thats it! Its Friday. Fish &amp; Chips eaten...its Beer and TV time. Happy Weekend everyone!! Have fun and stay safe https://t.co/FSceayVtYi,0,0
"Fijn weekend vrienden !!!

#Weekend https://t.co/pAbRQpd5Wc",1,0
"GOOD NIGHT  

All the stars are in my palm now! 
Only for you, my Twitter Friends!

... amazing Dreams  https://t.co/mbAxBWQhfr",4,2
"Cadi wishing you all a good weekend 
.
.
.
#wetdog #wetwalk #welshdogs #welshterriersofinstagram #weekend #tgif https://t.co/bjGRyqm9gB",0,0
Who would like to dine out during weekend when your personal dining space is so chic and classy. The colour palette https://t.co/NQ29qNc6El,0,0
Weekend. Radujmy si :-) #humor #satyra #rysunek #rysuneksatyryczny #weekend #maseczka #maseczki #Kwarantannadomowa https://t.co/suYVYhefcP,1,2
Share this toast (and a beverage selfie) with the ones you love most! Cheers!  #Weekend #StayHome #StayConnected https://t.co/4tZTPCn9yZ,1,0
"The #weekend is sorted. 

I so wanted the paperback for this book.
But I know I should just shut up as there are se https://t.co/uz8juqdvlQ",0,0
